City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,wailua homesteads,22.0669,-159.378,300.39,81,0,1.54,US,1712879639
83,touros,-5.1989,-35.4608,299.36,88,99,2.87,BR,1712879395
84,papatowai,-46.5619,169.4708,281.5,77,100,2.05,NZ,1712879639
85,dudinka,69.4058,86.1778,243.53,100,84,3.58,RU,1712879639
86,punta arenas,-53.15,-70.9167,281.21,66,0,14.4,CL,1712879432
87,yanam,16.7333,82.2167,297.74,83,26,1.18,IN,1712879640
88,san antonio de pale,-1.4014,5.6325,300.75,76,100,0.7,GQ,1712879640
89,bardai,11.65,7.2333,300.76,11,92,4.15,NG,1712879640
90,san andres,12.5847,-81.7006,303.16,74,20,5.66,CO,1712879343
91,nagqu,31.5,92.0,271.09,52,100,4.28,CN,1712879385
92,luau,-10.7073,22.2247,292.06,97,79,1.62,AO,1712879640
93,sao tome,0.3365,6.7273,300.27,80,100,2.2,ST,1712879640
94,greenville,35.6127,-77.3663,295.24,88,100,8.75,US,1712879634
95,pionerskiy,54.9508,20.2275,286.01,96,100,9.42,RU,1712879641
96,goronyo,13.4423,5.6763,306.18,10,100,4.6,NG,1712879641
97,burnie,-41.0667,145.9167,287.29,69,84,4.39,AU,1712879641
98,santa marta,11.2408,-74.199,306.18,52,0,5.14,CO,1712879451
99,huarmey,-10.0681,-78.1522,296.44,78,33,3.78,PE,1712879641
100,nova sintra,14.8667,-24.7167,295.79,77,2,7.02,CV,1712879641
101,outjo,-20.1167,16.15,293.55,44,55,1.48,NA,1712879354
102,elhovo,42.1667,26.5667,289.38,71,13,0.9,BG,1712879641
103,college,64.8569,-147.8028,280.41,42,75,5.14,US,1712879366
104,barra de santo antonio,-9.4047,-35.5072,300.75,79,33,3.51,BR,1712879642
105,muisne,0.6,-80.0333,299.01,81,60,1.4,EC,1712879530
106,lihue,21.9789,-159.3672,300.73,76,0,1.54,US,1712879642
107,salinopolis,-0.6136,-47.3561,299.84,89,100,3.87,BR,1712879642
108,qalat,32.1058,66.9083,289.35,51,96,4.03,AF,1712879642
109,borba,-4.3878,-59.5939,297.78,97,86,0.95,BR,1712879642
110,nuuk,64.1835,-51.7216,270.49,93,100,3.6,GL,1712879643
111,susuman,62.7833,148.1667,260.92,92,99,1.34,RU,1712879643
112,afaahiti,-17.75,-149.2833,303.08,87,82,7.17,PF,1712879644
113,sao felix do xingu,-6.6447,-51.995,297.18,95,86,0.37,BR,1712879644
114,hawaiian paradise park,19.5933,-154.9731,296.41,97,100,2.06,US,1712879373
115,jhalawar,24.6,76.15,300.35,40,93,2.13,IN,1712879644
116,xichang,27.8964,102.2634,287.85,69,28,0.37,CN,1712879645
117,salahonda,2.1019,-78.7217,300.62,77,45,3.81,CO,1712879592
118,port lincoln,-34.7333,135.8667,288.44,60,100,3.56,AU,1712879371
119,springbok,-29.6643,17.8865,290.77,31,4,9.04,ZA,1712879645
120,isafjordur,66.0755,-23.124,270.08,94,100,13.38,IS,1712879395
121,ribeira grande,38.5167,-28.7,289.14,94,98,1.34,PT,1712879362
122,itoman,26.1247,127.6694,296.53,78,75,3.09,JP,1712879646
123,fale old settlement,-9.3852,-171.2468,302.91,75,20,3.88,TK,1712879608
124,katsuren-haebaru,26.3369,127.8719,296.53,85,0,3.09,JP,1712879646
125,alausi,-2.2,-78.8333,285.19,93,92,1.02,EC,1712879647
126,utrik,11.2278,169.8474,299.84,73,98,9.18,MH,1712879647
127,ulaangom,49.9811,92.0667,274.01,62,64,0.98,MN,1712879647
128,anadyr,64.75,177.4833,261.43,72,0,4.0,RU,1712879647
129,zhangye,38.9342,100.4517,286.27,31,63,2.75,CN,1712879647
130,lorengau,-2.0226,147.2712,300.71,78,100,1.41,PG,1712879370
131,nanga eboko,4.6833,12.3667,293.89,98,100,0.47,CM,1712879647
132,zhoucun,36.8167,117.8167,293.85,52,5,4.2,CN,1712879648
133,sevastopol,44.6,33.5333,284.82,55,0,3.71,UA,1712879574
134,saipan,15.1355,145.701,303.54,66,0,6.69,MP,1712879648
135,panj,37.2363,69.0991,292.89,57,100,1.25,TJ,1712879648
136,valparaiso,-33.0393,-71.6273,289.82,61,75,2.57,CL,1712879636
137,sitka,57.0531,-135.33,280.09,57,40,7.2,US,1712879648
138,keflavik,64.0049,-22.5624,277.1,87,75,6.69,IS,1712879398
139,kristiansund,63.1115,7.732,283.18,71,20,6.17,NO,1712879607
140,kerema,-7.9631,145.7785,298.01,93,100,3.52,PG,1712879649
141,talnakh,69.4865,88.3972,243.26,97,94,3.95,RU,1712879583
142,port mathurin,-19.6833,63.4167,299.84,76,9,4.97,MU,1712879423
143,nar'yan-mar,67.6713,53.087,274.88,100,100,7.6,RU,1712879649
144,thinadhoo,0.5333,72.9333,301.89,71,95,1.09,MV,1712879649
145,doume,4.2333,13.45,295.69,93,100,1.42,CM,1712879649
146,trenton,40.217,-74.7429,291.54,91,100,6.69,US,1712879497
147,sawankhalok,17.316,99.8319,300.89,78,19,1.03,TH,1712879649
148,jinan,36.6683,116.9972,293.23,51,0,3.95,CN,1712879650
149,taoudenni,22.6783,-3.9836,300.5,11,0,5.02,ML,1712879650
150,al jawf,29.5,38.75,291.59,36,0,2.5,SA,1712879650
151,charters towers,-20.1,146.2667,297.53,45,0,4.66,AU,1712879650
152,tindouf,27.6711,-8.1474,300.4,10,0,1.54,DZ,1712879650
153,siwa oasis,29.2041,25.5195,292.39,50,0,3.33,EG,1712879650
154,veinticinco de mayo,-35.4323,-60.1727,284.81,93,98,0.89,AR,1712879650
155,kabansk,52.0486,106.6528,276.02,96,99,0.95,RU,1712879650
156,tshabong,-26.05,22.45,290.38,37,0,4.17,BW,1712879650
157,mossel bay,-34.1831,22.146,288.26,71,0,2.26,ZA,1712879360
158,pankovka,58.5,31.1999,282.1,49,100,6.97,RU,1712879650
159,vadso,70.0744,29.7487,274.24,75,100,7.72,NO,1712879651
160,yanliang,34.6592,109.2292,285.7,57,0,0.59,CN,1712879651
